"propertyLocation_id","props.address","props.latitude","props.longitude","props.zipcode","props.zpid","props.city","props.county","props.state","props.country"
112,"4221 Bay Laurel Ct",35.89574,-78.49964,27587,6511916,"Wake Forest","WAKE","NC","US"
113,"425 Boardwalk Dr",35.89574,-78.49964,27587,2059267399,"Wake Forest","WAKE","NC","US"
114,"213 Stillwood Dr",36.05006,-78.63384,27587,6446981,"Wake Forest","WAKE","NC","US"
115,"1020 Prairie Aster Ct",35.940384,-78.49876,27587,89498525,"Wake Forest","WAKE","NC","US"
116,"614 Carneros St",35.99603,-78.478355,27587,332988690,"Wake Forest","WAKE","NC","US"
117,"7616 Hasentree Way #459",35.99603,-78.478355,27587,2063153513,"Wake Forest","WAKE","NC","US"
118,"1036 N Main St",35.99569,-78.49958,27587,67554035,"Wake Forest","WAKE","NC","US"
119,"524 Friendship Chapel Rd #39",35.99569,-78.49958,27587,2059540683,"Wake Forest","WAKE","NC","US"
120,"3630 Armida Dr",36.089703,-78.57474,27587,221783607,"Wake Forest","WAKE","NC","US"
121,"2228 Longmont Dr",35.95894,-78.46818,27587,248747785,"Wake Forest","WAKE","NC","US"
122,"7808 Dover Hills Dr",35.99037,-78.57044,27587,305126027,"Wake Forest","WAKE","NC","US"
123,"524 Friendship Chapel Rd",35.964455,-78.500114,27587,338501640,"Wake Forest","WAKE","NC","US"
124,"7636 Hasentree Way #467",35.964455,-78.500114,27587,2061262738,"Wake Forest","WAKE","NC","US"
125,"7017 Moresham Way",35.973396,-78.56499,27587,6553168,"Wake Forest","WAKE","NC","US"
126,"2720 Blue Ravine Rd",36.00842,-78.54354,27587,6564608,"Wake Forest","WAKE","NC","US"
127,"6105 Jones Farm Rd",35.95249,-78.47408,27587,65335653,"Wake Forest","WAKE","NC","US"
128,"7304 Hasentree Club Dr",35.988422,-78.600845,27587,132326656,"Wake Forest","WAKE","NC","US"
129,"1559 Highpoint St",35.957726,-78.51593,27587,248748359,"Wake Forest","WAKE","NC","US"
130,"300 Whispering Wind Way",36.007378,-78.502716,27587,307195199,"Wake Forest","WAKE","NC","US"
131,"708 Pelzer Dr",35.931515,-78.49613,27587,331653063,"Wake Forest","WAKE","NC","US"
132,"537 Roycroft Dr",35.931515,-78.49613,27587,2063279650,"Wake Forest","WAKE","NC","US"
133,"5513 Old Still Rd",36.016308,-78.62947,27587,6449566,"Wake Forest","WAKE","NC","US"
134,"1312 Sweetclover Dr",35.952995,-78.46613,27587,50116311,"Wake Forest","WAKE","NC","US"
135,"2932 Dargan Hills Dr",35.9106,-78.53276,27587,60398377,"Wake Forest","WAKE","NC","US"
136,"1413 Lindenberg Sq",35.934612,-78.50976,27587,69567092,"Wake Forest","WAKE","NC","US"
137,"1405 Litchborough Way",35.95334,-78.47452,27587,111574195,"Wake Forest","WAKE","NC","US"
138,"3304 Silver Ore Ct",35.945137,-78.515465,27587,125251114,"Wake Forest","WAKE","NC","US"
139,"125 Kimber Lane Hvn #83",35.945137,-78.515465,27587,2059540682,"Wake Forest","WAKE","NC","US"
140,"509 Rain Drizzle Ct",35.945137,-78.515465,27587,2060161818,"Wake Forest","WAKE","NC","US"
141,"922 N Main St",35.992928,-78.50125,27587,6389111,"Wake Forest","WAKE","NC","US"
142,"522 E Nelson Ave",35.98068,-78.50224,27587,6434566,"Wake Forest","WAKE","NC","US"
143,"913 Richland Ridge Dr",35.971195,-78.52837,27587,65345672,"Wake Forest","WAKE","NC","US"
144,"505 Checkmate Cir",35.974335,-78.47781,27587,92420906,"Wake Forest","WAKE","NC","US"
